Bild1,Wort1,Bild2,Wort2,Bild3,Wort3,Bild4,Wort4,Bild5,Wort5,Farbe
Kirsche_rot.png,Kirsche,Mund_rot.png,Mund,Tomate_rot.png,Tomate,Herz_rot.png,Herz,Blut_rot.png,Blut,rot
Muenze_gold.png,Münze,Krone_gold.png,Krone,Pokal_gold.png,Pokal,Ring_gold.png,Ring,Kette_rot.png,Kette,gold
Kaktus_gruen.png,Kaktus,Erbse_gruen.png,Erbse,Raupe_gruen.png,Raupe,Salat_gruen.png,Salat,Monster_gruen.png,Monster,gruen
Geige_braun.png,Geige,Nuss_braun.png,Nuss,Tisch_braun.png,Tisch,Nest_braun.png,Nest,Holz_braun.png,Holz,braun
Iglu_weiss.png,Iglu,Gespenst_weiss.png,Gespenst,Zahn_weiss.png,Zahn,Brief_weiss.png,Brief,Schaf_weiss.png,Schaf,weiß
Koffer_schwarz.png,Koffer,Panther_schwarz.png,Panther,Klavier_schwarz.png,Klavier,Anzug_schwarz.png,Anzug,Reifen_schwarz_neu.png,Reifen,schwarz
